"GEOID","County","Male_Population","Female_Population"
"26139","Ottawa County, Michigan",147228,148955
"26141","Presque Isle County, Michigan",6562,6521
"26143","Roscommon County, Michigan",11891,11665
"26145","Saginaw County, Michigan",92665,97156
"26147","St. Clair County, Michigan",80273,79984
"26149","St. Joseph County, Michigan",30671,30216
"26151","Sanilac County, Michigan",20605,20154
"26153","Schoolcraft County, Michigan",4044,4018
"26155","Shiawassee County, Michigan",33970,34154
"26157","Tuscola County, Michigan",27048,26170
"26159","Van Buren County, Michigan",37837,37799
"26161","Washtenaw County, Michigan",185097,185134
"26163","Wayne County, Michigan",864475,917166
"26165","Wexford County, Michigan",16966,16800
"27001","Aitkin County, Minnesota",8004,7855
"27003","Anoka County, Minnesota",183494,180491
"27005","Becker County, Minnesota",17654,17548
"27007","Beltrami County, Minnesota",23299,22975
"27009","Benton County, Minnesota",20822,20478
"27011","Big Stone County, Minnesota",2618,2543
"27013","Blue Earth County, Minnesota",34934,34088
"27015","Brown County, Minnesota",13013,12867
"27017","Carlton County, Minnesota",19212,17150
"27019","Carver County, Minnesota",53641,53575
"27021","Cass County, Minnesota",15590,14698
"27023","Chippewa County, Minnesota",6290,6176
"27025","Chisago County, Minnesota",29651,27276
"27027","Clay County, Minnesota",32443,32864
"27029","Clearwater County, Minnesota",4314,4227
"27031","Cook County, Minnesota",2804,2807
"27033","Cottonwood County, Minnesota",5768,5713
"27035","Crow Wing County, Minnesota",33304,33254
"27037","Dakota County, Minnesota",218368,220811
"27039","Dodge County, Minnesota",10622,10271
"27041","Douglas County, Minnesota",19714,19367
"27043","Faribault County, Minnesota",7120,6811
"27045","Fillmore County, Minnesota",10804,10447
"27047","Freeborn County, Minnesota",15429,15428
"27049","Goodhue County, Minnesota",23905,23792
"27051","Grant County, Minnesota",3133,2958
"27053","Hennepin County, Minnesota",633454,637333
"27055","Houston County, Minnesota",9473,9353
"27057","Hubbard County, Minnesota",11006,10473
"27059","Isanti County, Minnesota",20955,20302
"27061","Itasca County, Minnesota",22891,22163
"27063","Jackson County, Minnesota",5127,4863
"27065","Kanabec County, Minnesota",8076,8069
"27067","Kandiyohi County, Minnesota",22189,21497
"27069","Kittson County, Minnesota",2096,2095
"27071","Koochiching County, Minnesota",6099,5973
"27073","Lac qui Parle County, Minnesota",3439,3297
"27075","Lake County, Minnesota",5608,5307
"27077","Lake of the Woods County, Minnesota",2018,1768
"27079","Le Sueur County, Minnesota",14650,14145
"27081","Lincoln County, Minnesota",2874,2756
"27083","Lyon County, Minnesota",12519,12833
"27085","McLeod County, Minnesota",18448,18279
"27087","Mahnomen County, Minnesota",2762,2627
"27089","Marshall County, Minnesota",4578,4439
"27091","Martin County, Minnesota",10076,9884
"27093","Meeker County, Minnesota",12031,11321
"27095","Mille Lacs County, Minnesota",13608,13072
"27097","Morrison County, Minnesota",17343,16680
"27099","Mower County, Minnesota",20512,19570
"27101","Murray County, Minnesota",4110,4060
"27103","Nicollet County, Minnesota",17372,17008
"27105","Nobles County, Minnesota",11393,10801
"27107","Norman County, Minnesota",3343,3114
"27109","Olmsted County, Minnesota",79676,82631
"27111","Otter Tail County, Minnesota",30382,29690
"27113","Pennington County, Minnesota",7035,6960
"27115","Pine County, Minnesota",15605,13485
"27117","Pipestone County, Minnesota",4617,4763
"27119","Polk County, Minnesota",15992,15136
"27121","Pope County, Minnesota",5798,5514
"27123","Ramsey County, Minnesota",269113,278089
"27125","Red Lake County, Minnesota",2031,1881
"27127","Redwood County, Minnesota",7751,7677
"27129","Renville County, Minnesota",7557,7150
"27131","Rice County, Minnesota",34493,32659
"27133","Rock County, Minnesota",4701,4958
"27135","Roseau County, Minnesota",8070,7224
"27137","St. Louis County, Minnesota",101050,99072
"27139","Scott County, Minnesota",75749,75598
"27141","Sherburne County, Minnesota",50268,47552
"27143","Sibley County, Minnesota",7624,7326
"27145","Stearns County, Minnesota",80483,78139
"27147","Steele County, Minnesota",18799,18597
"27149","Stevens County, Minnesota",4977,4705
"27151","Swift County, Minnesota",5031,4775
"27153","Todd County, Minnesota",13100,12177
"27155","Traverse County, Minnesota",1660,1685
"27157","Wabasha County, Minnesota",10876,10584
"27159","Wadena County, Minnesota",6998,7110
"27161","Waseca County, Minnesota",9140,9813
"27163","Washington County, Minnesota",133828,134823
"27165","Watonwan County, Minnesota",5708,5497
"27167","Wilkin County, Minnesota",3426,3028
"27169","Winona County, Minnesota",24786,25006
"27171","Wright County, Minnesota",72791,69752
"27173","Yellow Medicine County, Minnesota",4849,4720
"28001","Adams County, Mississippi",13867,15558
"28003","Alcorn County, Mississippi",16911,17806
"28005","Amite County, Mississippi",5948,6735
"28007","Attala County, Mississippi",8537,9305
"28009","Benton County, Mississippi",3780,3857
"28011","Bolivar County, Mississippi",14462,16226
"28013","Calhoun County, Mississippi",6523,6670
"28015","Carroll County, Mississippi",5307,4623
"28017","Chickasaw County, Mississippi",8270,8754
"28019","Choctaw County, Mississippi",4080,4128
"28021","Claiborne County, Mississippi",4405,4639
"28023","Clarke County, Mississippi",7289,8264
"28025","Clay County, Mississippi",8803,9795
"28027","Coahoma County, Mississippi",9982,11282
"28029","Copiah County, Mississippi",13135,15075
"28031","Covington County, Mississippi",9001,9322
"28033","DeSoto County, Mississippi",90194,96020
"28035","Forrest County, Mississippi",36624,41293
"28037","Franklin County, Mississippi",3870,3820
"28039","George County, Mississippi",12440,12107
"28041","Greene County, Mississippi",8378,5294
"28043","Grenada County, Mississippi",10391,11083
"28045","Hancock County, Mississippi",22379,23631
"28047","Harrison County, Mississippi",102341,106407
"28049","Hinds County, Mississippi",106310,120231
"28051","Holmes County, Mississippi",8123,8725
"28053","Humphreys County, Mississippi",3538,4206
"28055","Issaquena County, Mississippi",773,433
"28057","Itawamba County, Mississippi",11861,12027
"28059","Jackson County, Mississippi",71078,72643
"28061","Jasper County, Mississippi",8167,8153
"28063","Jefferson County, Mississippi",3448,3759
"28065","Jefferson Davis County, Mississippi",5386,5905
"28067","Jones County, Mississippi",32780,34372
"28069","Kemper County, Mississippi",4614,4366
"28071","Lafayette County, Mississippi",27066,29106
"28073","Lamar County, Mississippi",30879,33546
"28075","Lauderdale County, Mississippi",35314,37427
"28077","Lawrence County, Mississippi",5840,6093
"28079","Leake County, Mississippi",10586,10749
"28081","Lee County, Mississippi",39817,43526
"28083","Leflore County, Mississippi",13124,14796
"28085","Lincoln County, Mississippi",16669,18186
"28087","Lowndes County, Mississippi",27946,30601
"28089","Madison County, Mississippi",52683,56574
"28091","Marion County, Mississippi",11794,12568
"28093","Marshall County, Mississippi",16852,17128
"28095","Monroe County, Mississippi",16511,17657
"28097","Montgomery County, Mississippi",4674,5129
"28099","Neshoba County, Mississippi",13754,15216
"28101","Newton County, Mississippi",10313,10962
"28103","Noxubee County, Mississippi",4716,5545
"28105","Oktibbeha County, Mississippi",25696,25692
"28107","Panola County, Mississippi",15990,17167
"28109","Pearl River County, Mississippi",27679,28672
"28111","Perry County, Mississippi",5766,5745
"28113","Pike County, Mississippi",18918,21180
"28115","Pontotoc County, Mississippi",15198,16004
"28117","Prentiss County, Mississippi",12270,12675
"28119","Quitman County, Mississippi",2877,3236
"28121","Rankin County, Mississippi",76152,81033
"28123","Scott County, Mississippi",13871,14072
"28125","Sharkey County, Mississippi",1950,1960
"28127","Simpson County, Mississippi",12507,13382
"28129","Smith County, Mississippi",6747,7563
"28131","Stone County, Mississippi",9371,8989
"28133","Sunflower County, Mississippi",13798,12069
"28135","Tallahatchie County, Mississippi",6735,5886
"28137","Tate County, Mississippi",13587,14507
"28139","Tippah County, Mississippi",10594,11175
"28141","Tishomingo County, Mississippi",9169,9668
"28143","Tunica County, Mississippi",4835,4952
"28145","Union County, Mississippi",13752,14128
"28147","Walthall County, Mississippi",6957,6931
"28149","Warren County, Mississippi",21320,23021
"28151","Washington County, Mississippi",21015,23589
"28153","Wayne County, Mississippi",9600,10160
"28155","Webster County, Mississippi",4754,5188
"28157","Wilkinson County, Mississippi",4588,3943
"28159","Winston County, Mississippi",8562,9179
"28161","Yalobusha County, Mississippi",5990,6509
"28163","Yazoo County, Mississippi",16207,11260
"29001","Adair County, Missouri",12112,13187
"29003","Andrew County, Missouri",9113,8956
"29005","Atchison County, Missouri",2666,2604
"29007","Audrain County, Missouri",11771,13102
"29009","Barry County, Missouri",17540,17161
"29011","Barton County, Missouri",5781,5902
"29013","Bates County, Missouri",8064,8037
"29015","Benton County, Missouri",10001,9615
"29017","Bollinger County, Missouri",5298,5360
"29019","Boone County, Missouri",89484,94559
"29021","Buchanan County, Missouri",42811,41733
"29023","Butler County, Missouri",20654,21626
"29025","Caldwell County, Missouri",4549,4327
"29027","Callaway County, Missouri",23158,21359
"29029","Camden County, Missouri",21504,21723
"29031","Cape Girardeau County, Missouri",39940,41763
"29033","Carroll County, Missouri",4262,4251
"29035","Carter County, Missouri",2591,2708
"29037","Cass County, Missouri",53087,55118
"29039","Cedar County, Missouri",7313,7001
"29041","Chariton County, Missouri",3706,3711
"29043","Christian County, Missouri",43917,45651
"29045","Clark County, Missouri",3459,3234
"29047","Clay County, Missouri",125225,127860
"29049","Clinton County, Missouri",10619,10536
"29051","Cole County, Missouri",38954,37936
"29053","Cooper County, Missouri",8535,8358
"29055","Crawford County, Missouri",11414,11609
"29057","Dade County, Missouri",3845,3753
"29059","Dallas County, Missouri",8402,8756
"29061","Daviess County, Missouri",4222,4196
"29063","DeKalb County, Missouri",7127,4711
"29065","Dent County, Missouri",7257,7252
"29067","Douglas County, Missouri",5991,5812
"29069","Dunklin County, Missouri",13489,14685
"29071","Franklin County, Missouri",52478,52380
"29073","Gasconade County, Missouri",7522,7279
"29075","Gentry County, Missouri",3034,3185
"29077","Greene County, Missouri",146659,152529
"29079","Grundy County, Missouri",4822,5056
"29081","Harrison County, Missouri",4127,4063
"29083","Henry County, Missouri",10991,11073
"29085","Hickory County, Missouri",4307,4145
"29087","Holt County, Missouri",2134,2140
"29089","Howard County, Missouri",5168,4974
"29091","Howell County, Missouri",19454,20506
"29093","Iron County, Missouri",4762,4776
"29095","Jackson County, Missouri",348351,367175
"29097","Jasper County, Missouri",60468,62320
"29099","Jefferson County, Missouri",113749,113235
"29101","Johnson County, Missouri",27678,26347
"29103","Knox County, Missouri",1899,1873
"29105","Laclede County, Missouri",18027,18033
"29107","Lafayette County, Missouri",16590,16268
"29109","Lawrence County, Missouri",19195,19036
"29111","Lewis County, Missouri",5038,4949
"29113","Lincoln County, Missouri",30435,29737
"29115","Linn County, Missouri",5823,6069
"29117","Livingston County, Missouri",6425,7977
"29119","McDonald County, Missouri",11840,11541
"29121","Macon County, Missouri",7532,7641
"29123","Madison County, Missouri",6356,6293
"29125","Maries County, Missouri",4274,4180
"29127","Marion County, Missouri",13933,14592
"29129","Mercer County, Missouri",1726,1791
"29131","Miller County, Missouri",12458,12397
"29133","Mississippi County, Missouri",6527,5778
"29135","Moniteau County, Missouri",7982,7419
"29137","Monroe County, Missouri",4445,4223
"29139","Montgomery County, Missouri",5756,5665
"29141","Morgan County, Missouri",10660,10509
"29143","New Madrid County, Missouri",7817,8524
"29145","Newton County, Missouri",29756,29263
"29147","Nodaway County, Missouri",10575,10565
"29149","Oregon County, Missouri",4367,4416
"29151","Osage County, Missouri",6899,6475
"29153","Ozark County, Missouri",4343,4345
"29155","Pemiscot County, Missouri",7304,8251
"29157","Perry County, Missouri",9415,9555
"29159","Pettis County, Missouri",21606,21453
"29161","Phelps County, Missouri",23629,21214
"29163","Pike County, Missouri",9656,8063
"29165","Platte County, Missouri",53232,53801
"29167","Polk County, Missouri",15732,16145
"29169","Pulaski County, Missouri",29982,23744
"29171","Putnam County, Missouri",2414,2284
"29173","Ralls County, Missouri",5301,5055
"29175","Randolph County, Missouri",12916,11736
"29177","Ray County, Missouri",11611,11511
"29179","Reynolds County, Missouri",3177,2925
"29181","Ripley County, Missouri",5402,5437
"29183","St. Charles County, Missouri",201131,205131
"29185","St. Clair County, Missouri",4737,4593
"29186","Ste. Genevieve County, Missouri",9537,8957
"29187","St. Francois County, Missouri",35470,31344
"29189","St. Louis County, Missouri",478717,520986
"29195","Saline County, Missouri",11642,11577
"29197","Schuyler County, Missouri",2011,2055
"29199","Scotland County, Missouri",2304,2416
"29201","Scott County, Missouri",18523,19532
"29203","Shannon County, Missouri",3637,3495
"29205","Shelby County, Missouri",3076,2973
"29207","Stoddard County, Missouri",14018,14638
"29209","Stone County, Missouri",15415,15899
"29211","Sullivan County, Missouri",3001,2982
"29213","Taney County, Missouri",26873,29329
"29215","Texas County, Missouri",13096,11732
"29217","Vernon County, Missouri",9763,10014
"29219","Warren County, Missouri",17840,17889
"29221","Washington County, Missouri",12260,11320
"29223","Wayne County, Missouri",5512,5569
"29225","Webster County, Missouri",20016,19249
"29227","Worth County, Missouri",991,991
"29229","Wright County, Missouri",9137,9338
"29510","St. Louis city, Missouri",144893,153125
"30001","Beaverhead County, Montana",4829,4640
"30003","Big Horn County, Montana",6498,6592
"30005","Blaine County, Montana",3530,3500
"30007","Broadwater County, Montana",3607,3370
"30009","Carbon County, Montana",5410,5235
"30011","Carter County, Montana",698,634
"30013","Cascade County, Montana",43002,41421
"30015","Chouteau County, Montana",2956,2941
"30017","Custer County, Montana",6024,5933
"30019","Daniels County, Montana",775,760
"30021","Dawson County, Montana",4607,4308
"30023","Deer Lodge County, Montana",5072,4363
"30025","Fallon County, Montana",1448,1493
"30027","Fergus County, Montana",5991,5505
"30029","Flathead County, Montana",53095,52855
"30031","Gallatin County, Montana",62534,57151
"30033","Garfield County, Montana",487,489
"30035","Glacier County, Montana",6820,6961
"30037","Golden Valley County, Montana",419,422
"30039","Granite County, Montana",1724,1644
"30041","Hill County, Montana",8293,7945
"30043","Jefferson County, Montana",6282,5991
"30045","Judith Basin County, Montana",1131,908
"30047","Lake County, Montana",15630,15879
"30049","Lewis and Clark County, Montana",35738,35749
"30051","Liberty County, Montana",908,1085
"30053","Lincoln County, Montana",10127,10030
"30055","McCone County, Montana",913,833
"30057","Madison County, Montana",4593,4149
"30059","Meagher County, Montana",1057,891
"30061","Mineral County, Montana",2430,2222
"30063","Missoula County, Montana",59633,58908
"30065","Musselshell County, Montana",2487,2437
"30067","Park County, Montana",8723,8597
"30069","Petroleum County, Montana",226,190
"30071","Phillips County, Montana",2247,1986
"30073","Pondera County, Montana",3013,2974
"30075","Powder River County, Montana",876,897
"30077","Powell County, Montana",4455,2543
"30079","Prairie County, Montana",690,593
"30081","Ravalli County, Montana",22535,22341
"30083","Richland County, Montana",5710,5656
"30085","Roosevelt County, Montana",5464,5335
"30087","Rosebud County, Montana",4176,4134
"30089","Sanders County, Montana",6532,6083
"30091","Sheridan County, Montana",1945,1755
"30093","Silver Bow County, Montana",18120,17186
"30095","Stillwater County, Montana",4560,4418
"30097","Sweet Grass County, Montana",1906,1791
"30099","Teton County, Montana",3087,3151
"30101","Toole County, Montana",2921,2097
"30103","Treasure County, Montana",359,321
"30105","Valley County, Montana",3862,3690
"30107","Wheatland County, Montana",942,1118
"30109","Wibaux County, Montana",542,577
"30111","Yellowstone County, Montana",82077,83447
"31001","Adams County, Nebraska",15385,15758
"31003","Antelope County, Nebraska",3193,3109
"31005","Arthur County, Nebraska",255,230
"31007","Banner County, Nebraska",328,342
"31009","Blaine County, Nebraska",204,180
"31011","Boone County, Nebraska",2721,2676
"31013","Box Butte County, Nebraska",5486,5292
"31015","Boyd County, Nebraska",918,849
"31017","Brown County, Nebraska",1324,1367
"31019","Buffalo County, Nebraska",25127,24976
"31021","Burt County, Nebraska",3358,3359
"31023","Butler County, Nebraska",4192,4181
"31025","Cass County, Nebraska",13586,13163
"31027","Cedar County, Nebraska",4291,4084
"31029","Chase County, Nebraska",1752,1952
"31031","Cherry County, Nebraska",2815,2658
"31033","Cheyenne County, Nebraska",4734,4755
"31035","Clay County, Nebraska",3093,2995
"31037","Colfax County, Nebraska",5742,4821
"31039","Cuming County, Nebraska",4582,4418
"31041","Custer County, Nebraska",5314,5252
"31043","Dakota County, Nebraska",10530,10778
"31045","Dawes County, Nebraska",3951,4328
"31047","Dawson County, Nebraska",12528,11509
"31049","Deuel County, Nebraska",918,940
"31051","Dixon County, Nebraska",2874,2705
"31053","Dodge County, Nebraska",18572,18603
"31055","Douglas County, Nebraska",289721,292917
"31057","Dundy County, Nebraska",943,882
"31059","Fillmore County, Nebraska",2789,2768
"31061","Franklin County, Nebraska",1456,1445
"31063","Frontier County, Nebraska",1340,1151
"31065","Furnas County, Nebraska",2344,2286
"31067","Gage County, Nebraska",10964,10690
"31069","Garden County, Nebraska",861,917
"31071","Garfield County, Nebraska",938,895
"31073","Gosper County, Nebraska",986,887
"31075","Grant County, Nebraska",363,286
"31077","Greeley County, Nebraska",1134,1078
"31079","Hall County, Nebraska",32000,30575
"31081","Hamilton County, Nebraska",4738,4662
"31083","Harlan County, Nebraska",1590,1504
"31085","Hayes County, Nebraska",457,462
"31087","Hitchcock County, Nebraska",1352,1268
"31089","Holt County, Nebraska",5119,5030
"31091","Hooker County, Nebraska",322,337
"31093","Howard County, Nebraska",3314,3162
"31095","Jefferson County, Nebraska",3475,3710
"31097","Johnson County, Nebraska",3208,2086
"31099","Kearney County, Nebraska",3337,3318
"31101","Keith County, Nebraska",4218,4085
"31103","Keya Paha County, Nebraska",498,489
"31105","Kimball County, Nebraska",1774,1621
"31107","Knox County, Nebraska",4225,4190
"31109","Lancaster County, Nebraska",162505,159558
"31111","Lincoln County, Nebraska",17250,17282
"31113","Logan County, Nebraska",456,383
"31115","Loup County, Nebraska",349,280
"31117","McPherson County, Nebraska",239,217
"31119","Madison County, Nebraska",17653,17885
"31121","Merrick County, Nebraska",3895,3780
"31123","Morrill County, Nebraska",2449,2113
"31125","Nance County, Nebraska",1697,1669
"31127","Nemaha County, Nebraska",3595,3424
"31129","Nuckolls County, Nebraska",2046,2046
"31131","Otoe County, Nebraska",8239,7756
"31133","Pawnee County, Nebraska",1241,1312
"31135","Perkins County, Nebraska",1480,1380
"31137","Phelps County, Nebraska",4574,4392
"31139","Pierce County, Nebraska",3691,3610
"31141","Platte County, Nebraska",17368,16851
"31143","Polk County, Nebraska",2581,2601
"31145","Red Willow County, Nebraska",5224,5466
"31147","Richardson County, Nebraska",3981,3869
"31149","Rock County, Nebraska",647,665
"31151","Saline County, Nebraska",7286,6989
"31153","Sarpy County, Nebraska",96591,94681
"31155","Saunders County, Nebraska",11495,10879
"31157","Scotts Bluff County, Nebraska",17521,18527
"31159","Seward County, Nebraska",9122,8522
"31161","Sheridan County, Nebraska",2558,2544
"31163","Sherman County, Nebraska",1509,1461
"31165","Sioux County, Nebraska",571,591
"31167","Stanton County, Nebraska",2956,2872
"31169","Thayer County, Nebraska",2474,2532
"31171","Thomas County, Nebraska",281,311
"31173","Thurston County, Nebraska",3306,3410
"31175","Valley County, Nebraska",2026,2027
"31177","Washington County, Nebraska",10389,10495
"31179","Wayne County, Nebraska",4867,4834
"31181","Webster County, Nebraska",1749,1661
"31183","Wheeler County, Nebraska",365,406
"31185","York County, Nebraska",7105,7107
"32001","Churchill County, Nevada",13112,12297
"32003","Clark County, Nevada",1137581,1128345
"32005","Douglas County, Nevada",25063,24413
"32007","Elko County, Nevada",28070,25530
"32009","Esmeralda County, Nevada",529,451
"32011","Eureka County, Nevada",818,804
"32013","Humboldt County, Nevada",9009,8257
"32015","Lander County, Nevada",3109,2619
"32017","Lincoln County, Nevada",2516,1991
"32019","Lyon County, Nevada",30802,28633
"32021","Mineral County, Nevada",2124,2444
"32023","Nye County, Nevada",26290,25408
"32027","Pershing County, Nevada",4293,2294
"32029","Storey County, Nevada",2149,1946
"32031","Washoe County, Nevada",247473,239201
"32033","White Pine County, Nevada",5195,3802
"32510","Carson City, Nevada",30199,28050
"33001","Belknap County, New Hampshire",31658,32256
"33003","Carroll County, New Hampshire",25655,25024
"33005","Cheshire County, New Hampshire",37770,38840
"33007","Coos County, New Hampshire",16638,14792
"33009","Grafton County, New Hampshire",45104,45732
"33011","Hillsborough County, New Hampshire",212276,210457
"33013","Merrimack County, New Hampshire",76723,77195
"33015","Rockingham County, New Hampshire",157222,157947
"33017","Strafford County, New Hampshire",64834,66131
"33019","Sullivan County, New Hampshire",21845,21511
"34001","Atlantic County, New Jersey",133897,140442
"34003","Bergen County, New Jersey",467592,485651
"34005","Burlington County, New Jersey",228468,233385
"34007","Camden County, New Jersey",253604,268977
"34009","Cape May County, New Jersey",46347,49109
"34011","Cumberland County, New Jersey",78755,74833
"34013","Essex County, New Jersey",414982,438392
"34015","Gloucester County, New Jersey",148499,154122
"34017","Hudson County, New Jersey",356520,355509
"34019","Hunterdon County, New Jersey",63792,65307
"34021","Mercer County, New Jersey",189495,194237
"34023","Middlesex County, New Jersey",427707,432440
"34025","Monmouth County, New Jersey",315742,327322
"34027","Morris County, New Jersey",252441,256375
"34029","Ocean County, New Jersey",310873,327818
"34031","Passaic County, New Jersey",255780,264206
"34033","Salem County, New Jersey",32077,32763
"34035","Somerset County, New Jersey",170153,174825
"34037","Sussex County, New Jersey",72893,71915
"34039","Union County, New Jersey",282245,289834
"34041","Warren County, New Jersey",54469,55270
"35001","Bernalillo County, New Mexico",332549,342143
"35003","Catron County, New Mexico",1903,1732
"35005","Chaves County, New Mexico",32652,32049
"35006","Cibola County, New Mexico",13765,13446
"35007","Colfax County, New Mexico",6273,6097
"35009","Curry County, New Mexico",24945,23382
"35011","De Baca County, New Mexico",1063,632
"35013","Doña Ana County, New Mexico",108834,111036
"35015","Eddy County, New Mexico",31413,29851
"35017","Grant County, New Mexico",14084,13922
"35019","Guadalupe County, New Mexico",2590,1823
"35021","Harding County, New Mexico",339,332
"35023","Hidalgo County, New Mexico",2066,2094
"35025","Lea County, New Mexico",37934,35169
"35027","Lincoln County, New Mexico",9878,10344
"35028","Los Alamos County, New Mexico",9884,9369
"35029","Luna County, New Mexico",12969,12424
"35031","McKinley County, New Mexico",35101,36972
"35033","Mora County, New Mexico",1872,2336
"35035","Otero County, New Mexico",35846,32004
"35037","Quay County, New Mexico",4206,4435
"35039","Rio Arriba County, New Mexico",19854,20431
"35041","Roosevelt County, New Mexico",9583,9559
"35043","Sandoval County, New Mexico",74086,75374
"35045","San Juan County, New Mexico",60435,61363
"35047","San Miguel County, New Mexico",13545,13670
"35049","Santa Fe County, New Mexico",75375,79106
"35051","Sierra County, New Mexico",5822,5684
"35053","Socorro County, New Mexico",8366,8087
"35055","Taos County, New Mexico",17035,17440
"35057","Torrance County, New Mexico",7805,7398
"35059","Union County, New Mexico",2182,1892
"35061","Valencia County, New Mexico",38604,38009
"36001","Albany County, New York",153405,161636
"36003","Allegany County, New York",23892,23330
"36005","Bronx County, New York",683349,759880
"36007","Broome County, New York",98025,100340
"36009","Cattaraugus County, New York",38652,38348
"36011","Cayuga County, New York",39143,37028
"36013","Chautauqua County, New York",63496,63944
"36015","Chemung County, New York",41704,41880
"36017","Chenango County, New York",23663,23433
"36019","Clinton County, New York",41064,38775
"36021","Columbia County, New York",31068,30401
"36023","Cortland County, New York",23310,23445
"36025","Delaware County, New York",22763,21874
"36027","Dutchess County, New York",148112,148355
"36029","Erie County, New York",463713,487519
"36031","Essex County, New York",19297,18017
"36033","Franklin County, New York",25027,22432
"36035","Fulton County, New York",26734,26546
"36037","Genesee County, New York",29171,29033
"36039","Greene County, New York",24926,23141
"36041","Hamilton County, New York",2569,2521
"36043","Herkimer County, New York",30207,30086
"36045","Jefferson County, New York",62226,55219
"36047","Kings County, New York",1279425,1400195
"36049","Lewis County, New York",13520,13170
"36051","Livingston County, New York",31139,30841
"36053","Madison County, New York",33809,34211
"36055","Monroe County, New York",367653,388753
"36057","Montgomery County, New York",24788,24836
"36059","Nassau County, New York",683660,705500
"36061","New York County, New York",788264,857603
"36063","Niagara County, New York",104348,107882
"36065","Oneida County, New York",115677,115378
"36067","Onondaga County, New York",229648,242989
"36069","Ontario County, New York",55283,57005
"36071","Orange County, New York",200761,200476
"36073","Orleans County, New York",20464,19684
"36075","Oswego County, New York",59486,58551
"36077","Otsego County, New York",29157,30521
"36079","Putnam County, New York",49280,48662
"36081","Queens County, New York",1155898,1204928
"36083","Rensselaer County, New York",80545,80398
"36085","Richmond County, New York",241783,251142
"36087","Rockland County, New York",166981,170345
"36089","St. Lawrence County, New York",55702,52968
"36091","Saratoga County, New York",117525,118803
"36093","Schenectady County, New York",78328,81119
"36095","Schoharie County, New York",15033,14937
"36097","Schuyler County, New York",8987,8868
"36099","Seneca County, New York",17613,16038
"36101","Steuben County, New York",46984,46600
"36103","Suffolk County, New York",756707,767779
"36105","Sullivan County, New York",40863,37862
"36107","Tioga County, New York",24193,24151
"36109","Tompkins County, New York",50314,52241
"36111","Ulster County, New York",90973,91180
"36113","Warren County, New York",32658,33026
"36115","Washington County, New York",31806,29504
"36117","Wayne County, New York",45865,45459
"36119","Westchester County, New York",487019,510885
"36121","Wyoming County, New York",21526,18812
"36123","Yates County, New York",12105,12608
"37001","Alamance County, North Carolina",82328,89451
"37003","Alexander County, North Carolina",18896,17609
"37005","Alleghany County, North Carolina",5340,5649
"37007","Anson County, North Carolina",11246,10954
"37009","Ashe County, North Carolina",13254,13505
"37011","Avery County, North Carolina",9666,8013
"37013","Beaufort County, North Carolina",21485,23226
"37015","Bertie County, North Carolina",9227,8591
"37017","Bladen County, North Carolina",14326,15481
"37019","Brunswick County, North Carolina",67404,72317
"37021","Buncombe County, North Carolina",130266,139183
"37023","Burke County, North Carolina",44022,43777
"37025","Cabarrus County, North Carolina",111333,115063
"37027","Caldwell County, North Carolina",40091,40625
"37029","Camden County, North Carolina",5494,5053
"37031","Carteret County, North Carolina",33661,34692
"37033","Caswell County, North Carolina",11831,10916
"37035","Catawba County, North Carolina",79315,81696
"37037","Chatham County, North Carolina",36955,39799
"37039","Cherokee County, North Carolina",14246,14622
"37041","Chowan County, North Carolina",6602,7233
"37043","Clay County, North Carolina",5347,5839
"37045","Cleveland County, North Carolina",48106,51421
"37047","Columbus County, North Carolina",25276,25551
"37049","Craven County, North Carolina",50563,50535
"37051","Cumberland County, North Carolina",166798,168409
"37053","Currituck County, North Carolina",14503,14113
"37055","Dare County, North Carolina",18548,18612
"37057","Davidson County, North Carolina",83345,86153
"37059","Davie County, North Carolina",21018,22012
"37061","Duplin County, North Carolina",24368,24944
"37063","Durham County, North Carolina",156231,168870
"37065","Edgecombe County, North Carolina",22979,26088
"37067","Forsyth County, North Carolina",182947,200792
"37069","Franklin County, North Carolina",34827,34853
"37071","Gaston County, North Carolina",111225,117747
"37073","Gates County, North Carolina",5212,5297
"37075","Graham County, North Carolina",3994,4053
"37077","Granville County, North Carolina",31552,29609
"37079","Greene County, North Carolina",11779,8628
"37081","Guilford County, North Carolina",256731,282826
"37083","Halifax County, North Carolina",23755,25017
"37085","Harnett County, North Carolina",67115,67603
"37087","Haywood County, North Carolina",30253,31899
"37089","Henderson County, North Carolina",56226,60243
"37091","Hertford County, North Carolina",10908,10725
"37093","Hoke County, North Carolina",26017,26595
"37095","Hyde County, North Carolina",2394,2242
"37097","Iredell County, North Carolina",93283,94556
"37099","Jackson County, North Carolina",20991,21397
"37101","Johnston County, North Carolina",108299,110743
"37103","Jones County, North Carolina",4636,4627
"37105","Lee County, North Carolina",31219,32341
"37107","Lenoir County, North Carolina",26348,28723
"37109","Lincoln County, North Carolina",43881,44052
"37111","McDowell County, North Carolina",22521,22108
"37113","Macon County, North Carolina",18191,18897
"37115","Madison County, North Carolina",10613,10801
"37117","Martin County, North Carolina",10172,11820
"37119","Mecklenburg County, North Carolina",540310,575093
"37121","Mitchell County, North Carolina",7418,7571
"37123","Montgomery County, North Carolina",12560,13279
"37125","Moore County, North Carolina",49243,51516
"37127","Nash County, North Carolina",45908,49107
